Survived,Class,Sex,Age,Fare
0,3,1,22.0,7.25
1,1,0,38.0,71.2833
1,3,0,26.0,7.925
1,1,0,35.0,53.1
0,3,1,35.0,8.05
0,3,1,29.6991176471,8.4583
0,1,1,54.0,51.8625
0,3,1,2.0,21.075
1,3,0,27.0,11.1333
1,2,0,14.0,30.0708
1,3,0,4.0,16.7
1,1,0,58.0,26.55
0,3,1,20.0,8.05
0,3,1,39.0,31.275
0,3,0,14.0,7.8542
1,2,0,55.0,16.0
0,3,1,2.0,29.125
1,2,1,29.6991176471,13.0
0,3,0,31.0,18.0
1,3,0,29.6991176471,7.225
0,2,1,35.0,26.0
1,2,1,34.0,13.0
1,3,0,15.0,8.0292
1,1,1,28.0,35.5
0,3,0,8.0,21.075
1,3,0,38.0,31.3875
0,3,1,29.6991176471,7.225
0,1,1,19.0,263.0
1,3,0,29.6991176471,7.8792
0,3,1,29.6991176471,7.8958
0,1,1,40.0,27.7208
1,1,0,29.6991176471,146.5208
1,3,0,29.6991176471,7.75
0,2,1,66.0,10.5
0,1,1,28.0,82.1708
0,1,1,42.0,52.0
1,3,1,29.6991176471,7.2292
0,3,1,21.0,8.05
0,3,0,18.0,18.0
1,3,0,14.0,11.2417
0,3,0,40.0,9.475
0,2,0,27.0,21.0
0,3,1,29.6991176471,7.8958
1,2,0,3.0,41.5792
1,3,0,19.0,7.8792
0,3,1,29.6991176471,8.05
0,3,1,29.6991176471,15.5
1,3,0,29.6991176471,7.75
0,3,1,29.6991176471,21.6792
0,3,0,18.0,17.8
0,3,1,7.0,39.6875
0,3,1,21.0,7.8
1,1,0,49.0,76.7292
1,2,0,29.0,26.0
0,1,1,65.0,61.9792
1,1,1,29.6991176471,35.5
1,2,0,21.0,10.5
0,3,1,28.5,7.2292
1,2,0,5.0,27.75
0,3,1,11.0,46.9
0,3,1,22.0,7.2292
1,1,0,38.0,80.0
0,1,1,45.0,83.475
0,3,1,4.0,27.9
0,1,1,29.6991176471,27.7208
1,3,1,29.6991176471,15.2458
1,2,0,29.0,10.5
0,3,1,19.0,8.1583
1,3,0,17.0,7.925
0,3,1,26.0,8.6625
0,2,1,32.0,10.5
0,3,0,16.0,46.9
0,2,1,21.0,73.5
0,3,1,26.0,14.4542
1,3,1,32.0,56.4958
0,3,1,25.0,7.65
0,3,1,29.6991176471,7.8958
0,3,1,29.6991176471,8.05
1,2,1,0.83,29.0
1,3,0,30.0,12.475
0,3,1,22.0,9.0
1,3,1,29.0,9.5
1,3,0,29.6991176471,7.7875
0,1,1,28.0,47.1
1,2,0,17.0,10.5
1,3,0,33.0,15.85
0,3,1,16.0,34.375
0,3,1,29.6991176471,8.05
1,1,0,23.0,263.0
0,3,1,24.0,8.05
0,3,1,29.0,8.05
0,3,1,20.0,7.8542
0,1,1,46.0,61.175
0,3,1,26.0,20.575
0,3,1,59.0,7.25
0,3,1,29.6991176471,8.05
0,1,1,71.0,34.6542
1,1,1,23.0,63.3583
1,2,0,34.0,23.0
0,2,1,34.0,26.0
0,3,0,28.0,7.8958
0,3,1,29.6991176471,7.8958
0,1,1,21.0,77.2875
0,3,1,33.0,8.6542
0,3,1,37.0,7.925
0,3,1,28.0,7.8958
1,3,0,21.0,7.65
1,3,1,29.6991176471,7.775
0,3,1,38.0,7.8958
1,3,0,29.6991176471,24.15
0,1,1,47.0,52.0
0,3,0,14.5,14.4542
0,3,1,22.0,8.05
0,3,0,20.0,9.825
0,3,0,17.0,14.4583
0,3,1,21.0,7.925
0,3,1,70.5,7.75
0,2,1,29.0,21.0
0,1,1,24.0,247.5208
0,3,0,2.0,31.275
0,2,1,21.0,73.5
0,3,1,29.6991176471,8.05
0,2,1,32.5,30.0708
1,2,0,32.5,13.0
0,1,1,54.0,77.2875
1,3,1,12.0,11.2417
0,3,1,29.6991176471,7.75
1,3,1,24.0,7.1417
1,3,0,29.6991176471,22.3583
0,3,1,45.0,6.975
0,3,1,33.0,7.8958
0,3,1,20.0,7.05
0,3,0,47.0,14.5
1,2,0,29.0,26.0
0,2,1,25.0,13.0
0,2,1,23.0,15.0458
1,1,0,19.0,26.2833
0,1,1,37.0,53.1
0,3,1,16.0,9.2167
0,1,1,24.0,79.2
0,3,0,29.6991176471,15.2458
1,3,0,22.0,7.75
1,3,0,24.0,15.85
0,3,1,19.0,6.75
0,2,1,18.0,11.5
0,2,1,19.0,36.75
1,3,1,27.0,7.7958
0,3,0,9.0,34.375
0,2,1,36.5,26.0
0,2,1,42.0,13.0
0,2,1,51.0,12.525
1,1,0,22.0,66.6
0,3,1,55.5,8.05
0,3,1,40.5,14.5
0,3,1,29.6991176471,7.3125
0,1,1,51.0,61.3792
1,3,0,16.0,7.7333
0,3,1,30.0,8.05
0,3,1,29.6991176471,8.6625
0,3,1,29.6991176471,69.55
0,3,1,44.0,16.1
1,2,0,40.0,15.75
0,3,1,26.0,7.775
0,3,1,17.0,8.6625
0,3,1,1.0,39.6875
1,3,1,9.0,20.525
1,1,0,29.6991176471,55.0
0,3,0,45.0,27.9
0,1,1,29.6991176471,25.925
0,3,1,28.0,56.4958
0,1,1,61.0,33.5
0,3,1,4.0,29.125
1,3,0,1.0,11.1333
0,3,1,21.0,7.925
0,1,1,56.0,30.6958
0,3,1,18.0,7.8542
0,3,1,29.6991176471,25.4667
0,1,0,50.0,28.7125
0,2,1,30.0,13.0
0,3,1,36.0,0.0
0,3,0,29.6991176471,69.55
0,2,1,29.6991176471,15.05
0,3,1,9.0,31.3875
1,2,1,1.0,39.0
1,3,0,4.0,22.025
0,1,1,29.6991176471,50.0
1,3,0,29.6991176471,15.5
1,1,1,45.0,26.55
0,3,1,40.0,15.5
0,3,1,36.0,7.8958
1,2,0,32.0,13.0
0,2,1,19.0,13.0
1,3,0,19.0,7.8542
1,2,1,3.0,26.0
1,1,0,44.0,27.7208
1,1,0,58.0,146.5208
0,3,1,29.6991176471,7.75
0,3,1,42.0,8.4042
1,3,0,29.6991176471,7.75
0,2,0,24.0,13.0
0,3,1,28.0,9.5
0,3,1,29.6991176471,69.55
0,3,1,34.0,6.4958
0,3,1,45.5,7.225
1,3,1,18.0,8.05
0,3,0,2.0,10.4625
0,3,1,32.0,15.85
1,3,1,26.0,18.7875
1,3,0,16.0,7.75
1,1,1,40.0,31.0
0,3,1,24.0,7.05
1,2,0,35.0,21.0
0,3,1,22.0,7.25
0,2,1,30.0,13.0
0,3,1,29.6991176471,7.75
1,1,0,31.0,113.275
1,3,0,27.0,7.925
0,2,1,42.0,27.0
